user_id,eod_survey_date,contract_c19
user_179,2021-04-26,Strongly Disagree
user_179,2021-04-27,Disagree
user_179,2021-04-28,Disagree
user_179,2021-04-29,Strongly Disagree
user_179,2021-04-30,Disagree
user_179,2021-05-01,Disagree
user_179,2021-05-02,Strongly Disagree
user_179,2021-05-03,Disagree
user_179,2021-05-04,Strongly Agree
user_179,2021-05-05,Disagree
user_179,2021-05-06,Strongly Disagree
user_179,2021-05-07,Agree
user_179,2021-05-09,Unsure
user_179,2021-05-10,Agree
user_179,2021-05-11,Disagree
user_179,2021-05-12,Disagree
user_179,2021-05-13,Strongly Agree
user_179,2021-05-14,Disagree
user_165,2021-04-20,Disagree
user_165,2021-04-21,Disagree
user_165,2021-04-22,Strongly Disagree
user_165,2021-04-23,Disagree
user_165,2021-04-24,Strongly Disagree
user_165,2021-04-25,Disagree
user_165,2021-04-26,Strongly Disagree
user_165,2021-04-27,Strongly Disagree
user_165,2021-04-28,Strongly Disagree
user_165,2021-04-29,Disagree
user_165,2021-04-30,Disagree
user_165,2021-05-01,Disagree
user_165,2021-05-02,Disagree
user_165,2021-05-03,Strongly Disagree
user_165,2021-05-04,Disagree
user_165,2021-05-05,Disagree
user_25,2021-02-19,Disagree
user_25,2021-02-20,Unsure
user_25,2021-02-21,Strongly Disagree
user_25,2021-02-28,Unsure
user_25,2021-03-01,Strongly Disagree
user_25,2021-03-02,Agree
user_25,2021-03-03,Strongly Agree
user_25,2021-03-04,Strongly Disagree
user_25,2021-03-05,Agree
user_25,2021-03-06,Strongly Disagree
user_25,2021-03-07,Agree
user_25,2021-03-08,Agree
user_25,2021-03-09,Agree
user_25,2021-03-10,Agree
user_25,2021-03-11,Agree
user_25,2021-03-12,Agree
user_25,2021-03-13,Strongly Agree
user_25,2021-03-14,Disagree
user_25,2021-03-15,Strongly Disagree
user_25,2021-03-16,Agree
user_117,2021-04-01,Strongly Disagree
user_117,2021-04-02,Strongly Disagree
user_117,2021-04-03,Strongly Disagree
user_117,2021-04-04,Strongly Disagree
user_117,2021-04-05,Strongly Disagree
user_117,2021-04-06,Strongly Disagree
user_117,2021-04-07,Strongly Disagree
user_117,2021-04-08,Strongly Disagree
user_117,2021-04-09,Strongly Disagree
user_117,2021-04-10,Strongly Disagree
user_117,2021-04-11,Strongly Disagree
user_117,2021-04-12,Strongly Disagree
user_117,2021-04-13,Strongly Disagree
user_117,2021-04-14,Strongly Disagree
user_117,2021-03-29,Strongly Disagree
user_117,2021-03-30,Strongly Disagree
user_117,2021-03-31,Strongly Disagree
user_24,2021-02-19,Disagree
user_24,2021-02-20,Disagree
user_24,2021-02-21,Unsure
user_24,2021-02-22,Unsure
user_24,2021-02-23,Disagree
user_24,2021-02-24,Disagree
user_24,2021-02-25,Disagree
user_24,2021-02-26,Disagree
user_24,2021-02-27,Disagree
user_24,2021-02-28,Disagree
user_24,2021-03-01,Disagree
user_24,2021-03-02,Disagree
user_24,2021-03-03,Disagree
user_24,2021-03-04,Disagree
user_24,2021-03-05,Disagree
user_24,2021-03-06,Disagree
user_24,2021-03-07,Disagree
user_222,2021-05-24,Strongly Disagree
user_222,2021-05-25,Strongly Disagree
user_222,2021-05-26,Strongly Disagree
user_222,2021-05-27,Strongly Disagree
user_222,2021-05-28,Strongly Disagree
user_222,2021-05-29,Disagree
user_114,2021-04-01,Unsure
user_114,2021-04-02,Strongly Disagree
user_114,2021-04-03,Disagree
user_114,2021-04-04,Unsure
user_114,2021-04-05,Strongly Disagree
user_114,2021-04-06,Strongly Disagree
user_114,2021-04-07,Strongly Disagree
user_114,2021-04-08,Strongly Disagree
user_114,2021-04-09,Strongly Disagree
user_114,2021-04-10,Strongly Disagree
user_114,2021-04-11,Strongly Disagree
user_114,2021-03-27,Unsure
user_114,2021-03-28,Unsure
user_114,2021-03-29,Strongly Disagree
user_114,2021-03-30,Strongly Disagree
user_114,2021-03-31,Unsure
user_7,2021-02-15,Disagree
user_7,2021-02-16,Disagree
user_7,2021-02-17,Strongly Disagree
user_7,2021-02-18,Unsure
user_7,2021-02-19,Disagree
user_7,2021-02-23,Disagree
user_89,2021-04-01,Disagree
user_89,2021-04-02,Unsure
user_89,2021-04-03,Disagree
user_89,2021-03-18,Strongly Disagree
user_89,2021-03-19,Disagree
user_89,2021-03-20,Disagree
user_89,2021-03-21,Disagree
user_89,2021-03-22,Disagree
user_89,2021-03-23,Disagree
user_89,2021-03-24,Disagree
user_89,2021-03-25,Disagree
user_89,2021-03-26,Disagree
user_89,2021-03-27,Disagree
user_89,2021-03-28,Disagree
user_89,2021-03-29,Disagree
user_89,2021-03-30,Disagree
user_89,2021-03-31,Disagree
user_79,2021-03-15,Strongly Disagree
user_79,2021-03-16,Strongly Disagree
user_79,2021-03-17,Disagree
user_79,2021-03-18,Unsure
user_79,2021-03-19,Unsure
user_79,2021-03-20,Agree
user_79,2021-03-21,Disagree
user_79,2021-03-22,Strongly Disagree
user_79,2021-03-23,Disagree
user_79,2021-03-24,Strongly Disagree
user_79,2021-03-25,Disagree
user_79,2021-03-26,Strongly Disagree
user_79,2021-03-27,Disagree
user_79,2021-03-28,Disagree
user_79,2021-03-29,Strongly Disagree
user_79,2021-03-30,Strongly Disagree
user_79,2021-03-31,Strongly Disagree
user_6,2021-02-15,Strongly Disagree
user_6,2021-02-16,Strongly Disagree
user_6,2021-02-17,Disagree
user_6,2021-02-18,Disagree
user_6,2021-02-20,Unsure
user_6,2021-02-21,Disagree
user_6,2021-02-22,Unsure
user_6,2021-02-23,Strongly Disagree
user_6,2021-02-24,Strongly Disagree
user_72,2021-03-15,Disagree
user_72,2021-03-16,Disagree
user_72,2021-03-17,Disagree
user_72,2021-03-18,Disagree
user_72,2021-03-19,Disagree
user_72,2021-03-20,Disagree
user_72,2021-03-21,Disagree
user_72,2021-03-22,Disagree
user_72,2021-03-23,Disagree
user_72,2021-03-24,Disagree
user_72,2021-03-25,Disagree
user_72,2021-03-26,Disagree
user_72,2021-03-27,Disagree
user_72,2021-03-28,Disagree
user_72,2021-03-29,Disagree
user_72,2021-03-30,Disagree
user_162,2021-04-20,Strongly Disagree
user_162,2021-04-21,Strongly Disagree
user_162,2021-04-23,Strongly Agree
user_162,2021-04-24,Disagree
user_162,2021-04-25,Strongly Agree
user_162,2021-04-26,Strongly Disagree
user_162,2021-04-27,Strongly Disagree
user_162,2021-04-28,Strongly Disagree
user_162,2021-04-29,Strongly Disagree
user_162,2021-04-30,Disagree
user_162,2021-05-01,Strongly Disagree
user_162,2021-05-02,Strongly Disagree
user_162,2021-05-03,Strongly Disagree
user_162,2021-05-04,Strongly Disagree
user_162,2021-05-05,Strongly Disagree
user_162,2021-05-06,Strongly Disagree
user_162,2021-05-07,Strongly Disagree
user_162,2021-05-08,Disagree
user_162,2021-05-09,Strongly Disagree
user_162,2021-05-10,Strongly Disagree
user_81,2021-03-15,Strongly Disagree
user_81,2021-03-16,Disagree
user_81,2021-03-17,Unsure
user_81,2021-03-18,Strongly Disagree
user_81,2021-03-19,Unsure
user_81,2021-03-20,Disagree
user_81,2021-03-21,Unsure
user_81,2021-03-22,Unsure
user_81,2021-03-23,Strongly Disagree
user_81,2021-03-24,Strongly Disagree
user_81,2021-03-25,Disagree
user_81,2021-03-26,Disagree
user_81,2021-03-27,Disagree
user_81,2021-03-28,Strongly Disagree
user_81,2021-03-29,Strongly Disagree
user_81,2021-03-30,Strongly Disagree
user_81,2021-03-31,Strongly Disagree
user_92,2021-04-01,Strongly Disagree
user_92,2021-04-02,Unsure
user_92,2021-04-03,Disagree
user_92,2021-04-04,Disagree
user_92,2021-04-05,Strongly Disagree
user_92,2021-03-18,Strongly Disagree
user_92,2021-03-19,Strongly Disagree
user_92,2021-03-20,Unsure
user_92,2021-03-21,Unsure
user_92,2021-03-22,Strongly Disagree
user_92,2021-03-23,Strongly Disagree
user_92,2021-03-24,Disagree
user_92,2021-03-25,Strongly Disagree
user_92,2021-03-26,Disagree
user_92,2021-03-27,Disagree
user_92,2021-03-28,Strongly Disagree
user_92,2021-03-29,Disagree
user_92,2021-03-30,Disagree
user_92,2021-03-31,Disagree
user_71,2021-03-15,Agree
user_71,2021-03-16,Agree
user_41,2021-02-25,Strongly Disagree
user_41,2021-02-26,Strongly Disagree
user_41,2021-02-27,Strongly Disagree
user_41,2021-02-28,Strongly Disagree
user_41,2021-03-01,Strongly Disagree
user_41,2021-03-02,Strongly Disagree
user_41,2021-03-03,Strongly Disagree
user_41,2021-03-04,Strongly Disagree
user_41,2021-03-05,Strongly Disagree
user_41,2021-03-06,Strongly Disagree
user_41,2021-03-07,Strongly Disagree
user_41,2021-03-08,Strongly Disagree
user_41,2021-03-09,Strongly Disagree
user_41,2021-03-10,Strongly Disagree
user_41,2021-03-11,Strongly Disagree
user_41,2021-03-12,Strongly Disagree
user_41,2021-03-13,Strongly Disagree
user_41,2021-03-14,Strongly Disagree
user_41,2021-03-15,Strongly Disagree
user_194,2021-05-05,Disagree
user_194,2021-05-06,Strongly Disagree
user_194,2021-05-07,Strongly Disagree
user_194,2021-05-08,Disagree
user_194,2021-05-09,Disagree
user_194,2021-05-10,Strongly Disagree
user_194,2021-05-11,Agree
user_64,2021-04-01,Strongly Disagree
user_64,2021-03-12,Strongly Disagree
user_64,2021-03-13,Strongly Disagree
user_64,2021-03-14,Strongly Disagree
user_64,2021-03-15,Strongly Disagree
user_64,2021-03-16,Strongly Disagree
user_64,2021-03-17,Strongly Disagree
user_64,2021-03-18,Strongly Disagree
user_64,2021-03-19,Strongly Disagree
user_64,2021-03-20,Strongly Disagree
user_64,2021-03-21,Disagree
user_64,2021-03-22,Strongly Disagree
user_64,2021-03-23,Disagree
user_64,2021-03-24,Strongly Disagree
user_64,2021-03-25,Strongly Disagree
user_64,2021-03-26,Strongly Disagree
user_64,2021-03-27,Strongly Disagree
user_64,2021-03-28,Strongly Disagree
user_64,2021-03-29,Strongly Disagree
user_64,2021-03-30,Strongly Disagree
user_64,2021-03-31,Strongly Disagree
user_124,2021-04-01,Disagree
user_124,2021-04-02,Agree
user_124,2021-04-03,Disagree
user_124,2021-04-04,Unsure
