uniq_id,clust8_EV1234
user_10 _ 2021-02-19,1
user_10 _ 2021-02-24,1
user_10 _ 2021-02-25,1
user_10 _ 2021-02-26,1
user_10 _ 2021-03-03,1
user_10 _ 2021-03-04,1
user_10 _ 2021-03-05,3
user_10 _ 2021-03-06,1
user_100 _ 2021-03-23,8
user_100 _ 2021-03-24,8
user_100 _ 2021-03-26,7
user_100 _ 2021-03-27,8
user_100 _ 2021-03-28,1
user_100 _ 2021-03-29,8
user_100 _ 2021-03-31,8
user_100 _ 2021-04-01,8
user_100 _ 2021-04-02,6
user_100 _ 2021-04-03,1
user_100 _ 2021-04-04,1
user_100 _ 2021-04-05,1
user_100 _ 2021-04-06,8
user_101 _ 2021-03-23,8
user_101 _ 2021-03-24,1
user_101 _ 2021-03-25,8
user_101 _ 2021-03-26,8
user_101 _ 2021-03-28,1
user_101 _ 2021-03-29,8
user_101 _ 2021-04-01,8
user_101 _ 2021-04-02,8
user_101 _ 2021-04-03,5
user_101 _ 2021-04-04,5
user_101 _ 2021-04-05,8
user_101 _ 2021-04-06,8
user_101 _ 2021-04-07,8
user_101 _ 2021-04-08,8
user_101 _ 2021-04-09,8
user_101 _ 2021-04-10,1
user_101 _ 2021-04-11,1
user_102 _ 2021-03-26,8
user_102 _ 2021-03-31,8
user_102 _ 2021-04-01,8
user_102 _ 2021-04-02,8
user_102 _ 2021-04-03,1
user_102 _ 2021-04-04,1
user_102 _ 2021-04-05,8
user_102 _ 2021-04-06,8
user_102 _ 2021-04-07,8
user_102 _ 2021-04-08,8
user_102 _ 2021-04-09,8
user_103 _ 2021-03-25,1
user_103 _ 2021-03-27,1
user_103 _ 2021-03-28,1
user_103 _ 2021-03-29,1
user_103 _ 2021-03-30,1
user_103 _ 2021-03-31,1
user_103 _ 2021-04-04,1
user_103 _ 2021-04-05,1
user_103 _ 2021-04-06,3
user_103 _ 2021-04-07,1
user_103 _ 2021-04-08,3
user_106 _ 2021-03-26,1
user_106 _ 2021-03-28,1
user_106 _ 2021-03-31,8
user_106 _ 2021-04-01,8
user_106 _ 2021-04-02,3
user_106 _ 2021-04-03,8
user_106 _ 2021-04-05,8
user_106 _ 2021-04-06,1
user_106 _ 2021-04-07,1
user_106 _ 2021-04-08,1
user_106 _ 2021-04-09,1
user_107 _ 2021-03-26,1
user_107 _ 2021-03-27,1
user_107 _ 2021-03-28,8
user_107 _ 2021-03-30,8
user_107 _ 2021-03-31,1
user_107 _ 2021-04-02,1
user_107 _ 2021-04-03,5
user_107 _ 2021-04-04,1
user_107 _ 2021-04-05,1
user_107 _ 2021-04-06,1
user_107 _ 2021-04-07,3
user_107 _ 2021-04-08,1
user_107 _ 2021-04-09,6
user_107 _ 2021-04-10,7
user_107 _ 2021-04-11,1
user_107 _ 2021-04-12,1
user_108 _ 2021-03-26,1
user_108 _ 2021-03-27,1
user_108 _ 2021-03-28,3
user_108 _ 2021-03-29,8
user_108 _ 2021-03-30,1
user_108 _ 2021-03-31,1
user_108 _ 2021-04-03,3
user_108 _ 2021-04-04,1
user_108 _ 2021-04-05,1
user_108 _ 2021-04-06,1
user_108 _ 2021-04-07,1
