best_num,best_clust,true_clust,seed
2,0,3,0
2,0,2,0
2,0,2,0
2,1,4,0
2,0,2,0
2,0,2,0
2,1,1,0
2,2,3,0
2,1,4,0
2,1,4,0
2,1,3,0
2,0,2,0
2,0,4,0
2,1,3,0
2,2,3,0
2,1,4,0
2,0,2,0
2,1,1,0
2,2,3,0
2,1,1,0
2,1,1,0
2,1,3,0
2,0,4,0
2,1,3,0
2,0,2,0
2,0,3,0
2,1,1,0
2,0,4,0
2,0,4,0
2,1,4,0
2,0,2,0
2,1,3,0
2,0,4,0
2,0,2,0
2,1,1,0
2,2,2,0
2,1,3,0
2,0,4,0
2,0,4,0
2,0,2,0
2,0,2,0
2,1,1,0
2,0,2,0
2,0,3,0
2,1,4,0
2,1,3,0
2,1,1,0
2,0,4,0
2,0,4,0
2,0,4,0
2,1,1,0
2,0,2,0
2,0,4,0
2,1,1,0
2,1,4,0
2,0,2,0
2,1,4,0
2,1,3,0
2,1,3,0
2,1,1,0
2,0,2,0
2,1,1,0
2,1,1,0
2,0,2,0
2,3,2,0
2,1,1,0
2,1,1,0
2,1,1,0
2,0,2,0
2,0,2,0
2,1,4,0
2,1,1,0
2,1,3,0
2,1,4,0
2,1,3,0
2,0,2,0
2,0,2,0
2,1,1,0
2,1,1,0
2,0,3,0
2,0,2,0
2,0,3,0
2,1,3,0
2,1,1,0
2,1,4,0
2,1,1,0
2,1,4,0
2,2,3,0
2,0,2,0
2,0,2,0
2,1,3,0
2,1,4,0
2,1,4,0
2,1,1,0
2,1,4,0
2,0,2,0
2,1,3,0
2,1,4,0
2,0,3,0
2,1,3,0
2,1,3,0
2,1,3,0
2,2,3,0
2,0,2,0
2,0,2,0
2,0,2,0
2,1,3,0
2,0,4,0
2,2,3,0
2,1,3,0
2,2,2,0
2,0,2,0
2,0,3,0
2,1,3,0
2,2,3,0
2,0,4,0
2,2,3,0
2,0,2,0
2,2,3,0
2,0,4,0
2,0,2,0
2,1,1,0
2,0,2,0
2,1,3,0
2,1,1,0
2,2,3,0
2,0,4,0
2,0,2,0
2,0,4,0
2,1,1,0
2,1,4,0
2,0,2,0
2,3,2,0
2,1,3,0
2,1,4,0
2,1,4,0
2,0,3,0
2,1,3,0
2,1,4,0
2,1,1,0
2,1,4,0
2,1,1,0
2,1,1,0
2,0,2,0
2,1,1,0
2,0,2,0
2,1,4,0
2,0,4,0
2,1,1,0
2,1,4,0
2,0,2,0
2,1,1,0
2,1,1,0
2,0,2,0
2,1,1,0
2,1,4,0
2,1,3,0
2,1,1,0
2,2,3,0
2,3,4,0
2,1,3,0
2,1,1,0
2,0,2,0
2,1,3,0
2,2,3,0
2,0,2,0
2,0,2,0
2,0,2,0
2,0,2,0
2,1,1,0
2,1,3,0
2,1,3,0
2,1,1,0
2,1,1,0
2,0,2,0
2,1,3,0
2,1,3,0
2,1,1,0
2,0,2,0
2,0,2,0
2,0,2,0
2,1,1,0
2,0,4,0
2,1,3,0
2,1,3,0
2,1,4,0
2,0,3,0
2,1,4,0
2,1,3,0
2,3,2,0
2,1,3,0
2,1,1,0
2,0,4,0
2,3,2,0
2,2,3,0
2,1,1,0
2,1,4,0
2,1,1,0
2,2,3,0
2,1,3,0
2,1,4,0
2,2,2,0
2,1,4,0
2,1,4,0
2,1,1,0
2,1,1,0
2,0,2,0
2,0,3,0
2,1,1,0
2,0,2,0
2,0,2,0
2,0,2,0
2,1,3,0
2,0,2,0
2,0,4,0
2,1,1,0
2,1,4,0
2,1,1,0
2,1,4,0
2,0,2,0
2,0,3,0
2,1,1,0
2,1,1,0
2,1,1,0
2,2,3,0
2,1,4,0
2,1,4,0
2,0,2,0
2,1,1,0
2,1,3,0
2,1,4,0
2,1,1,0
2,1,1,0
2,0,2,0
2,1,1,0
2,0,2,0
2,1,4,0
2,0,4,0
2,0,2,0
2,0,2,0
2,0,4,0
2,1,1,0
2,1,4,0
2,0,2,0
2,1,1,0
2,1,3,0
2,0,2,0
2,1,4,0
2,1,4,0
2,0,2,0
6,0,4,1
6,1,1,1
6,1,4,1
6,0,3,1
6,1,3,1
6,1,4,1
6,2,2,1
6,1,1,1
6,3,2,1
6,1,4,1
6,1,3,1
6,3,2,1
6,0,4,1
6,1,1,1
6,1,4,1
6,1,1,1
6,1,3,1
6,1,3,1
6,3,2,1
6,0,4,1
6,0,4,1
6,1,1,1
6,0,4,1
6,1,4,1
6,2,3,1
6,1,3,1
6,1,1,1
6,0,4,1
6,0,4,1
6,0,4,1
6,1,3,1
6,3,2,1
6,1,1,1
6,2,2,1
6,3,4,1
6,3,2,1
6,1,1,1
6,3,2,1
6,0,4,1
6,1,1,1
6,3,2,1
6,1,4,1
6,1,1,1
6,1,3,1
6,1,3,1
6,0,4,1
6,0,4,1
6,1,4,1
6,2,2,1
6,1,1,1
6,0,4,1
6,3,2,1
6,3,2,1
6,1,1,1
6,1,1,1
6,1,3,1
6,1,4,1
6,1,4,1
6,1,4,1
6,3,2,1
6,1,1,1
6,1,1,1
6,1,3,1
6,1,3,1
6,3,2,1
6,3,2,1
6,1,3,1
6,3,2,1
6,1,1,1
6,3,2,1
6,1,1,1
6,1,4,1
6,3,2,1
6,3,3,1
6,3,2,1
6,2,2,1
6,1,1,1
6,2,2,1
6,2,3,1
6,1,1,1
6,1,1,1
6,1,4,1
6,1,3,1
6,1,1,1
6,0,4,1
6,1,4,1
6,1,1,1
6,1,3,1
6,1,1,1
6,1,4,1
6,3,2,1
6,3,2,1
6,2,3,1
6,1,1,1
6,0,4,1
6,1,1,1
6,1,4,1
6,3,2,1
6,1,4,1
6,0,3,1
6,1,1,1
6,3,2,1
6,0,4,1
6,3,2,1
6,3,3,1
6,0,4,1
6,0,4,1
6,1,1,1
6,1,1,1
6,1,1,1
6,1,3,1
6,3,2,1
6,1,1,1
6,1,4,1
6,1,1,1
6,1,3,1
6,3,3,1
6,1,1,1
6,1,3,1
6,1,4,1
6,1,4,1
6,3,3,1
6,1,1,1
6,3,2,1
6,1,1,1
6,1,1,1
6,1,1,1
6,3,2,1
6,1,3,1
6,1,3,1
6,3,4,1
6,3,2,1
6,3,2,1
6,0,4,1
6,1,1,1
6,1,1,1
6,3,2,1
6,0,3,1
6,1,4,1
6,1,1,1
6,1,4,1
6,2,3,1
6,3,2,1
6,1,3,1
6,1,4,1
6,3,2,1
6,3,2,1
6,2,2,1
6,1,3,1
6,1,3,1
6,3,2,1
6,1,1,1
6,1,4,1
6,1,1,1
6,1,1,1
6,1,1,1
6,1,1,1
6,0,3,1
6,1,3,1
6,1,3,1
6,0,4,1
6,3,2,1
6,1,3,1
6,0,3,1
6,1,4,1
6,0,4,1
6,1,1,1
6,0,4,1
6,1,1,1
6,3,2,1
6,1,1,1
6,3,2,1
6,0,3,1
6,1,1,1
6,3,2,1
6,1,1,1
6,1,4,1
6,1,1,1
6,1,3,1
6,3,2,1
6,1,1,1
6,1,3,1
6,1,4,1
6,1,3,1
6,1,1,1
6,1,1,1
6,3,2,1
6,1,4,1
6,1,1,1
6,1,1,1
6,1,1,1
6,3,2,1
6,3,2,1
6,0,4,1
6,3,2,1
6,1,1,1
6,3,2,1
6,0,4,1
6,3,3,1
6,1,1,1
6,1,3,1
6,3,2,1
6,0,3,1
6,0,4,1
6,1,1,1
6,2,3,1
6,1,4,1
6,0,4,1
6,1,3,1
6,0,4,1
6,0,4,1
6,1,1,1
6,3,2,1
6,0,3,1
6,1,1,1
6,0,4,1
6,1,4,1
6,2,3,1
6,0,3,1
6,2,3,1
6,1,3,1
6,1,1,1
6,1,1,1
6,3,2,1
6,1,1,1
6,1,4,1
6,3,2,1
6,1,4,1
6,1,1,1
6,0,4,1
6,2,3,1
6,3,2,1
6,1,4,1
6,3,2,1
6,1,4,1
6,0,4,1
6,2,3,1
6,3,2,1
6,1,1,1
6,1,1,1
6,3,2,1
6,3,3,1
6,3,4,1
6,1,4,1
6,0,4,1
6,3,2,1
6,1,1,1
6,0,4,1
6,0,4,1
6,1,1,1
4,0,3,2
4,1,1,2
4,0,4,2
4,2,2,2
4,0,4,2
4,2,2,2
4,1,1,2
4,2,2,2
4,1,4,2
4,1,1,2
4,0,3,2
4,1,4,2
4,1,1,2
4,1,1,2
4,1,3,2
4,1,4,2
4,1,4,2
4,0,3,2
4,2,2,2
4,1,4,2
4,1,1,2
4,3,3,2
4,2,2,2
4,1,1,2
4,2,2,2
4,2,4,2
4,0,4,2
4,2,2,2
4,2,2,2
4,1,1,2
4,0,4,2
4,1,1,2
4,1,1,2
4,3,3,2
4,2,3,2
4,0,3,2
4,2,2,2
4,3,3,2
4,2,2,2
4,2,2,2
4,1,1,2
4,1,1,2
4,1,1,2
4,0,4,2
4,2,2,2
4,1,4,2
4,0,3,2
4,1,3,2
4,2,2,2
4,1,3,2
4,1,1,2
4,0,3,2
4,2,2,2
4,1,1,2
4,2,2,2
4,2,4,2
4,0,3,2
4,0,4,2
4,1,1,2
4,3,3,2
4,1,4,2
4,1,4,2
4,2,4,2
4,1,4,2
4,1,3,2
4,0,3,2
4,2,2,2
4,0,3,2
4,1,4,2
4,1,4,2
4,2,2,2
4,1,1,2
4,0,4,2
4,1,1,2
4,1,1,2
4,1,1,2
4,0,4,2
4,2,3,2
4,1,3,2
4,1,3,2
4,1,4,2
4,1,1,2
4,2,2,2
4,1,1,2
4,2,3,2
4,2,2,2
4,0,4,2
4,2,2,2
4,2,2,2
4,2,2,2
4,2,2,2
4,1,1,2
4,1,1,2
4,1,3,2
4,2,3,2
4,1,3,2
4,1,1,2
4,2,2,2
4,1,3,2
4,2,3,2
4,3,3,2
4,2,4,2
4,1,1,2
4,3,3,2
4,1,4,2
4,2,2,2
4,2,2,2
4,2,2,2
4,1,3,2
4,2,2,2
4,0,3,2
4,1,4,2
4,1,1,2
4,1,1,2
4,1,1,2
4,1,1,2
4,2,2,2
4,2,2,2
4,2,2,2
4,1,4,2
4,1,1,2
4,1,4,2
4,1,3,2
4,1,1,2
4,2,3,2
4,1,4,2
4,0,4,2
4,2,2,2
4,1,3,2
4,2,2,2
4,3,3,2
4,1,1,2
4,1,1,2
4,1,3,2
4,2,4,2
4,1,3,2
4,2,3,2
4,3,3,2
4,1,1,2
4,0,3,2
4,1,1,2
4,2,2,2
4,1,1,2
4,2,3,2
4,2,2,2
4,3,3,2
4,1,1,2
4,1,1,2
4,0,3,2
4,2,3,2
4,3,3,2
4,2,3,2
4,1,4,2
4,2,2,2
4,1,1,2
4,1,4,2
4,2,2,2
4,1,3,2
4,0,3,2
4,3,3,2
4,2,2,2
4,1,1,2
4,3,3,2
4,1,4,2
4,2,2,2
4,1,1,2
4,0,3,2
4,2,2,2
4,0,3,2
4,1,3,2
4,0,4,2
4,1,1,2
4,1,1,2
4,1,4,2
4,0,4,2
4,3,3,2
4,0,3,2
4,2,2,2
4,1,3,2
4,3,3,2
4,1,4,2
4,1,1,2
4,0,4,2
4,1,1,2
4,1,3,2
4,2,4,2
4,1,3,2
4,1,4,2
4,1,1,2
4,2,2,2
4,1,4,2
4,1,3,2
4,1,4,2
4,2,2,2
4,1,1,2
4,1,4,2
4,2,2,2
4,1,3,2
4,2,2,2
4,2,4,2
4,1,3,2
4,0,4,2
4,2,3,2
4,1,1,2
4,2,2,2
4,1,4,2
4,0,4,2
4,1,3,2
4,1,3,2
4,1,4,2
4,1,4,2
4,1,3,2
