best_num,best_clust,true_clust,seed
5,0,3,0
5,0,2,0
5,1,2,0
5,0,3,0
5,0,2,0
5,0,2,0
5,2,1,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,1,2,0
5,2,1,0
5,1,2,0
5,0,3,0
5,2,1,0
5,1,2,0
5,2,1,0
5,0,3,0
5,2,1,0
5,2,1,0
5,0,3,0
5,0,3,0
5,0,3,0
5,1,2,0
5,0,3,0
5,2,1,0
5,0,3,0
5,0,3,0
5,0,3,0
5,2,2,0
5,1,2,0
5,0,3,0
5,2,2,0
5,2,1,0
5,1,2,0
5,0,3,0
5,0,3,0
5,0,3,0
5,2,1,0
5,2,2,0
5,2,1,0
5,2,2,0
5,2,1,0
5,0,3,0
5,0,3,0
5,2,1,0
5,0,3,0
5,0,3,0
5,2,1,0
5,2,1,0
5,2,2,0
5,0,3,0
5,2,1,0
5,0,3,0
5,1,2,0
5,1,2,0
5,0,3,0
5,2,2,0
5,2,1,0
5,2,2,0
5,2,1,0
5,2,1,0
5,1,2,0
5,2,2,0
5,2,1,0
5,2,1,0
5,2,1,0
5,2,2,0
5,2,2,0
5,2,2,0
5,2,1,0
5,0,3,0
5,2,1,0
5,0,3,0
5,1,2,0
5,2,2,0
5,2,1,0
5,2,1,0
5,1,2,0
5,1,2,0
5,0,3,0
5,0,3,0
5,2,1,0
5,0,3,0
5,2,1,0
5,0,3,0
5,0,3,0
5,2,2,0
5,2,2,0
5,0,3,0
5,1,2,0
5,0,3,0
5,2,1,0
5,0,2,0
5,2,2,0
5,2,2,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,2,2,0
5,0,2,0
5,1,2,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,1,2,0
5,2,2,0
5,0,2,0
5,0,3,0
5,2,1,0
5,2,1,0
5,2,1,0
5,0,2,0
5,0,3,0
5,0,3,0
5,1,2,0
5,2,1,0
5,0,2,0
5,0,3,0
5,2,1,0
5,0,3,0
5,0,3,0
5,2,1,0
5,0,3,0
5,2,1,0
5,0,3,0
5,2,1,0
5,2,2,0
5,1,2,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,0,3,0
5,2,1,0
5,2,1,0
5,2,1,0
5,2,1,0
5,2,2,0
5,2,1,0
5,1,2,0
5,1,2,0
5,0,3,0
5,2,1,0
5,0,3,0
5,2,2,0
5,2,1,0
5,2,1,0
5,2,1,0
5,2,1,0
